Код;Тип;Двигатели;Деталей;Примеры деталей;Куда положить файл;Поиск в Google;QuickServe (войти и искать код вручную)
00T5-9;Service Topic (внутренний код Cummins);NTE240;2;"3901937, 3910959";cummins/bulletins/topics/00T5-9.pdf;https://www.google.com/search?q=Cummins%2000T5-9%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
00T7-16;Service Topic (внутренний код Cummins);TR100A;1;3087969;cummins/bulletins/topics/00T7-16.pdf;https://www.google.com/search?q=Cummins%2000T7-16%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
00T7-17;Service Topic (внутренний код Cummins);NTE200;2;"108707, S199B";cummins/bulletins/topics/00T7-17.pdf;https://www.google.com/search?q=Cummins%2000T7-17%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
00T7-9;Service Topic (внутренний код Cummins);TR100A;1;3417474;cummins/bulletins/topics/00T7-9.pdf;https://www.google.com/search?q=Cummins%2000T7-9%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
00T8-4;Service Topic (внутренний код Cummins);NTE240;1;3081695;cummins/bulletins/topics/00T8-4.pdf;https://www.google.com/search?q=Cummins%2000T8-4%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
00T8-6;Service Topic (внутренний код Cummins);TR100A;1;3093411;cummins/bulletins/topics/00T8-6.pdf;https://www.google.com/search?q=Cummins%2000T8-6%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
01T0-12;Service Topic (внутренний код Cummins);NTE200;1;3865312;cummins/bulletins/topics/01T0-12.pdf;https://www.google.com/search?q=Cummins%2001T0-12%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
01T1-1;Service Topic (внутренний код Cummins);NTE200;1;3000082;cummins/bulletins/topics/01T1-1.pdf;https://www.google.com/search?q=Cummins%2001T1-1%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
01T1-10;Service Topic (внутренний код Cummins);NTE240;1;4017292;cummins/bulletins/topics/01T1-10.pdf;https://www.google.com/search?q=Cummins%2001T1-10%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
01T1-6;Service Topic (внутренний код Cummins);TR100A;3;"3092718, 3092932, 3092935";cummins/bulletins/topics/01T1-6.pdf;https://www.google.com/search?q=Cummins%2001T1-6%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
01T11-4;Service Topic (внутренний код Cummins);TR100A;2;"3092324, 4067825";cummins/bulletins/topics/01T11-4.pdf;https://www.google.com/search?q=Cummins%2001T11-4%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
01T11-5;Service Topic (внутренний код Cummins);NTE240;1;4065896;cummins/bulletins/topics/01T11-5.pdf;https://www.google.com/search?q=Cummins%2001T11-5%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
01T11-6;Service Topic (внутренний код Cummins);"NTE240, NTE200";1;4080141;cummins/bulletins/topics/01T11-6.pdf;https://www.google.com/search?q=Cummins%2001T11-6%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
01T13-2;Service Topic (внутренний код Cummins);TR100A;1;3821847;cummins/bulletins/topics/01T13-2.pdf;https://www.google.com/search?q=Cummins%2001T13-2%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
01T13-4;Service Topic (внутренний код Cummins);"NTE240, NTE200";1;3050692;cummins/bulletins/topics/01T13-4.pdf;https://www.google.com/search?q=Cummins%2001T13-4%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
01T15-1;Service Topic (внутренний код Cummins);"NTE240, NTE200";4;"3033800, 103009, 3175239, S155";cummins/bulletins/topics/01T15-1.pdf;https://www.google.com/search?q=Cummins%2001T15-1%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
