Артикул (Part No.),Наименование (RU),Description (EN),Description (ZH),"Цена, CNY без НДС",Группа,Взаимозаменяемый артикул,Источник,Разделы
00102614,,"CUP POINT A. @A"" BC 13.75?1D NOTE: A. FOR STANDARD GEAR REDUCTION.",,,,,TR100A,160-0040
00102634,,NUT,螺母,,,,TR100A,190-0070 190-0100 250-0020
00102635,,NUT,螺母,,,,TR100A,110-0140 120-0010 200-0040 220-0010 230-0020 230-0070
00102637,,NUT,螺母,,,,TR100A,100-0040 100-0140
00102639,,NUT,,,,,TR100A,230-0070
00103028,,NUT,,,,,TR100A,120-0290 220-0060
00103319,,SPRING WASHER,弹垫,,,,TR100A,120-0070 120-0190 120-0290 190-0070 230-0021 250-0020 260-0140 300-0030
00103320,,LOCKWASHER,锁紧垫圈,,,,TR100A,110-0130 120-0190 190-0070 190-0100 250-0020 260-0190
00103321,,LOCKWASHER,,,,,TR100A,120-0210 120-0220 120-0270 120-0290 250-0060
00103322,,LOCKWASHER,,,,,TR100A,120-0210
00103323,,WASHER,,,,,TR100A,120-0200 120-0210 120-0290
00103325,,LOCKWASHER,,,,,TR100A,120-0290 120-0340
00103328,,LOCKWAHSER,锁紧垫圈,,,,TR100A,110-0130 120-0090 210-0052 230-0020 230-0060
00103329,,LOCKWASHER,垫圈,,,,TR100A,100-0140 110-0030 120-0010 120-0110 120-0260 140-0040 160-0030 160-0050 180-0050 200-0010 210-0040 210-0050 210-0052 210-0061 220-0010 220-0060 220-0120 220-0190 220-0230 230-0020 230-0041 230-0130 270-0020
00103331,,LOCKWASHER,,,,,TR100A,120-0010 120-0110 230-0070
00103332,,LOCKWASHER,锁紧垫圈,,,,TR100A,210-0020
00103338,,WASHER,垫圈,,,,TR100A,270-0010
00103339,,WASHER,平垫,,,,TR100A,120-0070 120-0240 190-0070 230-0021 250-0020 300-0030
00103340,,WASHER,垫圈,,,,TR100A,190-0070 250-0020 260-0190
00103426,,PIN COTTER,开口销,,,,TR100A,220-0190
00103453,,LOCKWASHER,垫片,,,,TR100A,230-0020
00103498,,PIN,销子,,,,TR100A,120-0190
00105410,,PLUG,,,,,TR100A,110-0060
00105422,,ELBOW,,,,,TR100A,110-0060
00106263,,WARSH,平垫圈,,,,TR100A,190-0070 210-0020 210-0050 210-0061 220-0010 220-0060 220-0230 230-0070 250-0020 270-0010 270-0020 300-0030
00106264,,WASHER,,,,,TR100A,110-0060
00106265,,WASHER,垫片,,,,TR100A,110-0030 210-0050 210-0061 270-0020
00106270,,WASHER,ෛസ,,,,TR100A,200-0010
00106497,,LOCKWASHER,锁紧垫圈,,,,TR100A,120-0190 190-0070
00106671,,FITTING RELEASE,泄油咀,,,,TR100A,180-0030
00107393,,PIN,,,,,TR100A,120-0210 120-0260
00108580,,LOCKWAHSER,弹簧垫圈,,,,TR100A,110-0130 110-0140 120-0010 190-0030 190-0070 190-0100 190-0320 200-0010 200-0040 210-0050 210-0052 210-0061 220-0010 220-0190 220-0230 230-0020 230-0040 230-0070 250-0020 270-0020 300-0030 300-0050
00109084,,NUT,螺母,,,,TR100A,120-0190 230-0021 250-0020 260-0140 300-0030
00110501,,SCREW,螺钉,,,,TR100A,120-0190 270-0010
00110633,,NUT,螺母,,,,TR100A,120-0190
00114699,,SCREW,,,,,TR100A,250-0060
00115549,,LOCKWASHER,,,,,TR100A,120-0330
00115551,,GHD! LOCKWASHER,,,,,TR100A,120-0280 120-0320
00116436,,IJ CONNECTOR,,,,,TR100A,160-0030
00117966,,EYE PROTECTORS,护眼圈,,,,TR100A,110-0140 190-0320
00120063,,90°DEF ELBOW,,,,,TR100A,110-0130
00120350,,LOCKWASHER,,,,,TR100A,160-0030
00120371,,NUT A ABCDEFGHIJ NOTE: A PLEASE CONTACT YOUR TRANSMISSION MANUFACTURER FOR ADVICE.,,,,,TR100A,120-0200
00120378,,NUT,螺母,,,,TR100A,230-0020 270-0020
00121222,,PIN-COTTER,开口销,,,,TR100A,120-0190
00121538,,GASKET,,,,,TR100A,120-0270
00128003,,ADAPTER,接头,,,,TR100A,110-0140 200-0040 230-0041
00137185,,PIN-COTTER,开口销,,,,TR100A,120-0190
00137393,,BEARING,,,,,TR100A,160-0020
